document_id,ID,topic_id,probability
741,2003,0,0.11011045
741,2003,1,0.027678117
741,2003,2,0.13230628
741,2003,3,0.035707477
741,2003,4,0.08257217
741,2003,5,0.3878077
741,2003,6,0.029496921
741,2003,7,0.03619649
741,2003,8,0.13386764
741,2003,9,0.02425677
742,2009,0,0.13051581
742,2009,1,0.15760338
742,2009,2,0.03236997
742,2009,3,0.042386454
742,2009,4,0.0356363
742,2009,5,0.15003584
742,2009,6,0.035014242
742,2009,7,0.041340556
742,2009,8,0.34630355
742,2009,9,0.02879391
743,2011,0,0.21106024
743,2011,1,0.046790857
743,2011,3,0.17811586
743,2011,4,0.067695916
743,2011,5,0.25380343
743,2011,6,0.048902974
743,2011,7,0.057464525
743,2011,8,0.091824576
743,2011,9,0.037464738
744,2019,0,0.06812773
744,2019,1,0.09525739
744,2019,2,0.094758295
744,2019,3,0.04238794
744,2019,4,0.09803198
744,2019,5,0.15004101
744,2019,6,0.03501551
744,2019,7,0.10369191
744,2019,8,0.28389326
744,2019,9,0.028794926
745,2024,0,0.05565968
745,2024,1,0.17601363
745,2024,2,0.025906036
745,2024,3,0.033922326
745,2024,4,0.12838255
745,2024,5,0.18674876
745,2024,6,0.028022263
745,2024,7,0.03445467
745,2024,8,0.30784598
745,2024,9,0.023044078
746,2029,0,0.0417541
746,2029,1,0.054439865
746,2029,2,0.08987794
746,2029,3,0.07231183
746,2029,4,0.06789033
746,2029,5,0.24352324
746,2029,6,0.1089408
746,2029,7,0.023642313
746,2029,8,0.20982954
746,2029,9,0.08779004
747,1997,0,0.20804657
747,1997,1,0.037212607
747,1997,2,0.11015304
747,1997,3,0.017525079
747,1997,4,0.014123273
747,1997,5,0.31111002
747,1997,6,0.09737971
747,1997,7,0.15419436
747,1997,8,0.03889075
747,1997,9,0.011364616
748,1934,0,0.0825567
748,1934,1,0.03754101
748,1934,2,0.03698656
748,1934,3,0.048431583
748,1934,4,0.040718734
748,1934,5,0.3093108
748,1934,6,0.25381684
748,1934,7,0.047236525
748,1934,8,0.110500775
748,1934,9,0.032900486
749,1935,0,0.18191557
749,1935,1,0.09527581
749,1935,2,0.032383043
749,1935,3,0.16725539
749,1935,4,0.09807789
749,1935,5,0.22315387
749,1935,6,0.03502832
749,1935,7,0.04135725
749,1935,8,0.09674728
749,1935,9,0.028805561
750,1938,0,0.0726545
750,1938,1,0.035039444
750,1938,2,0.03452194
750,1938,3,0.045204327
750,1938,4,0.038005408
750,1938,5,0.3575182
750,1938,6,0.17043595
750,1938,7,0.044088896
750,1938,8,0.17182325
750,1938,9,0.03070814
751,1948,0,0.104216784
751,1948,1,0.17615928
751,1948,2,0.02591592
751,1948,3,0.033935245
751,1948,4,0.028531045
751,1948,5,0.31989938
751,1948,6,0.028032925
751,1948,7,0.033097908
751,1948,8,0.17720142
751,1948,9,0.07301003
752,1951,0,0.569973
752,1951,2,0.025304891
752,1951,3,0.04593516
752,1951,4,0.04283621
752,1951,5,0.1680843
752,1951,7,0.029268432
752,1951,8,0.04287462
752,1951,9,0.05759846
753,1954,0,0.03654086
753,1954,1,0.08410556
753,1954,2,0.017279992
753,1954,3,0.089243755
753,1954,4,0.052332994
753,1954,5,0.346521
753,1954,6,0.085305035
753,1954,7,0.121982045
753,1954,8,0.15131782
753,1954,9,0.015370995
754,1955,0,0.04364385
754,1955,1,0.06102379
754,1955,2,0.10060755
754,1955,3,0.13355452
754,1955,4,0.06260987
754,1955,5,0.25595772
754,1955,6,0.06237834
754,1955,7,0.14638223
754,1955,8,0.115395434
754,1955,9,0.018446716
755,1956,0,0.057791233
755,1956,1,0.027673803
755,1956,2,0.027265077
755,1956,3,0.035701916
755,1956,4,0.030016286
755,1956,5,0.30924994
755,1956,6,0.029492337
755,1956,7,0.3185915
755,1956,8,0.1399648
755,1956,9,0.024252977
756,1960,0,0.2060652
756,1960,1,0.030513035
756,1960,2,0.0903625
756,1960,3,0.12760302
756,1960,4,0.03140271
756,1960,5,0.18330854
756,1960,6,0.011221853
756,1960,7,0.082798086
756,1960,8,0.18589771
756,1960,9,0.050827444
757,1961,0,0.08382042
757,1961,1,0.04042461
757,1961,2,0.039827574
757,1961,3,0.052151706
757,1961,4,0.043846432
757,1961,5,0.4148003
757,1961,6,0.043081034
757,1961,7,0.050864864
757,1961,8,0.19575539
757,1961,9,0.03542764
758,1962,0,0.12286556
758,1962,1,0.030927576
758,1962,2,0.030470802
758,1962,3,0.15731886
758,1962,4,0.15096787
758,1962,5,0.14123292
758,1962,6,0.03295992
758,1962,7,0.038915075
758,1962,8,0.14977133
758,1962,9,0.14457001
759,1964,0,0.050989237
759,1964,1,0.16012096
759,1964,2,0.033995192
759,1964,3,0.15662405
759,1964,4,0.025932219
759,1964,5,0.42387623
759,1964,6,0.025479522
759,1964,7,0.030130554
759,1964,8,0.07189893
759,1964,9,0.020953067
760,1965,0,0.083914205
760,1965,1,0.11713188
760,1965,2,0.03982453
760,1965,3,0.05214773
